order,context_length,statistic,effect,left_variant,left_traversal,left_region,right_variant,right_traversal,right_region,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
24,5,mean_gain,gain_over_fair,permute_both_renormalized,columns,all,fair_coin,columns,all,20,0.018961646688599072,0.001210871508814777,0.018446082658729487,0.01948830067928294
24,5,mean_gain,gain_over_fair,permute_both_renormalized,rows,all,fair_coin,rows,all,20,0.01852108796218575,0.0017501157827787578,0.017704827634400757,0.019215465604392214
24,5,mean_gain,gain_over_fair,permute_columns_fixed_anchor,columns,all,fair_coin,columns,all,20,0.08023721660363438,0.012645506110087952,0.0747034133928548,0.08557264479472766
24,5,mean_gain,gain_over_fair,permute_columns_fixed_anchor,rows,all,fair_coin,rows,all,20,0.01903115726087572,0.0015765763177582226,0.01836622223286324,0.01970384262581144
24,5,mean_gain,gain_over_fair,permute_rows_fixed_anchor,columns,all,fair_coin,columns,all,20,0.019208406416733485,0.0014255172933316563,0.018604563171025733,0.01982020983562874
24,5,mean_gain,gain_over_fair,permute_rows_fixed_anchor,rows,all,fair_coin,rows,all,20,0.09042885377878482,0.010883357487829096,0.08580644408503162,0.095100210298125
24,6,mean_gain,gain_over_fair,catalog,columns,all,fair_coin,columns,all,20,0.0850716051551741,0.0139005791667931,0.07899880236902819,0.09084490140883356
24,6,mean_gain,gain_over_fair,catalog,columns,exclude_first_column,fair_coin,columns,exclude_first_column,20,0.06900034605638686,0.01493340100857224,0.06250702486779663,0.07522798176521067
24,6,mean_gain,gain_over_fair,catalog,columns,exclude_first_row,fair_coin,columns,exclude_first_row,20,0.092620933039855,0.015449321080167557,0.0857670002716395,0.09906920662973341
24,6,mean_gain,gain_over_fair,catalog,columns,interior,fair_coin,columns,interior,20,0.07363355554343896,0.016668966687528933,0.06621098742325635,0.08049340564630535
24,6,mean_gain,gain_over_fair,catalog,rows,all,fair_coin,rows,all,20,0.09122964315867489,0.011809630988570647,0.08614330480674866,0.0961708928592113
24,6,mean_gain,gain_over_fair,catalog,rows,exclude_first_column,fair_coin,rows,exclude_first_column,20,0.1011388879702736,0.012174259435813937,0.09590706593047786,0.10637293504554828
24,6,mean_gain,gain_over_fair,catalog,rows,exclude_first_row,fair_coin,rows,exclude_first_row,20,0.07655885348895179,0.012413483093440114,0.07104347797988561,0.0817765168665852
24,6,mean_gain,gain_over_fair,catalog,rows,interior,fair_coin,rows,interior,20,0.08341174011588433,0.013100479156099196,0.07791434960158204,0.08899036052136276
24,6,mean_gain,gain_over_fair,permute_both_fixed_anchor,columns,all,fair_coin,columns,all,20,0.02745945950116984,0.0016211365291289768,0.026859862441807235,0.028218844380018378
24,6,mean_gain,gain_over_fair,permute_both_fixed_anchor,rows,all,fair_coin,rows,all,20,0.026528294717728725,0.0016433622584597675,0.02582559365849191,0.027229851280281558
24,6,mean_gain,gain_over_fair,permute_both_renormalized,columns,all,fair_coin,columns,all,20,0.026901687602598544,0.0017400732262482356,0.026171350244777073,0.027627988964109545
24,6,mean_gain,gain_over_fair,permute_both_renormalized,rows,all,fair_coin,rows,all,20,0.02657440690658277,0.0015701828865720838,0.02585667777871583,0.027207279189979176
24,6,mean_gain,gain_over_fair,permute_columns_fixed_anchor,columns,all,fair_coin,columns,all,20,0.0850716051551741,0.013900579166793093,0.07904103213490181,0.0909203451283404
24,6,mean_gain,gain_over_fair,permute_columns_fixed_anchor,rows,all,fair_coin,rows,all,20,0.026528294717728735,0.0016433622584597764,0.025828619332967696,0.02722426548960423
