repetition,seed,order,presentation,block_size,stage,test_matrices,policy,sampled_states,skipped_forced_states,states,mean_feasible_candidates,mean_percentile,mean_percentile_minus_random,mean_reciprocal_rank,top_decile_rate,expected_top1_rate
0,20260814,24,permute_both_renormalized,8,middle,12,balance_pressured_pair,264,6,258,40.798449612403104,0.6356301829388419,0.13563018293884188,0.3432398142991976,0.28294573643410853,0.24151291767627858
0,20260814,24,permute_both_renormalized,8,middle,12,all_pair_product,264,6,258,40.798449612403104,0.8566030425844595,0.3566030425844595,0.6333061768593558,0.7441860465116279,0.552564978088234
0,20260814,24,permute_both_renormalized,8,middle,12,minimum_max_pressure,264,6,258,40.798449612403104,0.6064945159984192,0.10649451599841919,0.2837563934200959,0.20155038759689922,0.20071330406583554
0,20260814,28,catalog,2,early,97,random_order,500,0,500,4.0,0.5,0.0,0.4000000000000035,0.0,0.25
0,20260814,28,catalog,2,early,97,balance_only,500,0,500,4.0,0.52575,0.02575000000000005,0.48973809523809386,0.0,0.257
0,20260814,28,catalog,2,early,97,balance_random_pair,500,0,500,4.0,0.539,0.039000000000000035,0.5219476190476183,0.114,0.299
0,20260814,28,catalog,2,early,97,balance_pressured_pair,500,0,500,4.0,0.566,0.06599999999999995,0.5548809523809519,0.17,0.324
0,20260814,28,catalog,2,early,97,all_pair_product,500,0,500,4.0,0.64225,0.14225,0.6674666666666661,0.432,0.47
0,20260814,28,catalog,2,early,97,minimum_max_pressure,500,0,500,4.0,0.5585,0.058499999999999996,0.5112857142857145,0.108,0.3168333333333335
0,20260814,28,permute_both_fixed_anchor,2,early,97,random_order,500,0,500,4.0,0.5,0.0,0.4000000000000035,0.0,0.25
0,20260814,28,permute_both_fixed_anchor,2,early,97,balance_only,500,0,500,4.0,0.51125,0.011249999999999982,0.48564285714285566,0.0,0.259
0,20260814,28,permute_both_fixed_anchor,2,early,97,balance_random_pair,500,0,500,4.0,0.52675,0.02675000000000005,0.5070000000000001,0.106,0.2775
0,20260814,28,permute_both_fixed_anchor,2,early,97,balance_pressured_pair,500,0,500,4.0,0.55225,0.05225000000000002,0.5398761904761905,0.156,0.307
0,20260814,28,permute_both_fixed_anchor,2,early,97,all_pair_product,500,0,500,4.0,0.663,0.16300000000000003,0.6963523809523802,0.478,0.5165
0,20260814,28,permute_both_fixed_anchor,2,early,97,minimum_max_pressure,500,0,500,4.0,0.5885,0.08850000000000002,0.5529238095238095,0.166,0.3690000000000005
0,20260814,28,permute_both_renormalized,2,early,97,random_order,500,0,500,4.0,0.5,0.0,0.4000000000000035,0.0,0.25
0,20260814,28,permute_both_renormalized,2,early,97,balance_only,500,0,500,4.0,0.5225,0.022499999999999964,0.49185714285714105,0.0,0.265
0,20260814,28,permute_both_renormalized,2,early,97,balance_random_pair,500,0,500,4.0,0.543,0.04300000000000004,0.5176380952380948,0.108,0.2875
0,20260814,28,permute_both_renormalized,2,early,97,balance_pressured_pair,500,0,500,4.0,0.56275,0.06274999999999997,0.5509857142857141,0.174,0.3165
0,20260814,28,permute_both_renormalized,2,early,97,all_pair_product,500,0,500,4.0,0.647,0.14700000000000002,0.6826809523809526,0.456,0.506
0,20260814,28,permute_both_renormalized,2,early,97,minimum_max_pressure,500,0,500,4.0,0.56675,0.06674999999999998,0.5286380952380954,0.142,0.33366666666666694
0,20260814,28,catalog,2,middle,97,random_order,500,7,493,3.945233265720081,0.5,0.0,0.4054766734279952,0.0,0.25456389452332645
0,20260814,28,catalog,2,middle,97,balance_only,500,7,493,3.945233265720081,0.5435260311020962,0.043526031102096185,0.5085144402588605,0.016227180527383367,0.2785665990534144
0,20260814,28,catalog,2,middle,97,balance_random_pair,500,7,493,3.945233265720081,0.5889114266396215,0.08891142663962148,0.5738240123635664,0.17038539553752535,0.36544962812711296
0,20260814,28,catalog,2,middle,97,balance_pressured_pair,500,7,493,3.945233265720081,0.6072515212981744,0.10725152129817439,0.6064377475127987,0.25963488843813387,0.392156862745098
0,20260814,28,catalog,2,middle,97,all_pair_product,500,7,493,3.945233265720081,0.7377450980392154,0.2377450980392154,0.789056312180044,0.6105476673427992,0.652129817444219
0,20260814,28,catalog,2,middle,97,minimum_max_pressure,500,7,493,3.945233265720081,0.6305780933062877,0.13057809330628767,0.6204336907176657,0.281947261663286,0.45486815415821563
0,20260814,28,permute_both_fixed_anchor,2,middle,97,random_order,500,0,500,3.982,0.5,0.0,0.4018000000000035,0.0,0.25149999999999995
0,20260814,28,permute_both_fixed_anchor,2,middle,97,balance_only,500,0,500,3.982,0.53875,0.03874999999999995,0.5069285714285704,0.028,0.286
0,20260814,28,permute_both_fixed_anchor,2,middle,97,balance_random_pair,500,0,500,3.982,0.5733333333333334,0.07333333333333336,0.5491714285714281,0.138,0.326
0,20260814,28,permute_both_fixed_anchor,2,middle,97,balance_pressured_pair,500,0,500,3.982,0.6243333333333333,0.1243333333333333,0.6201571428571434,0.28,0.4133333333333334
0,20260814,28,permute_both_fixed_anchor,2,middle,97,all_pair_product,500,0,500,3.982,0.7447499999999999,0.2447499999999999,0.8046333333333325,0.654,0.678
0,20260814,28,permute_both_fixed_anchor,2,middle,97,minimum_max_pressure,500,0,500,3.982,0.6479999999999999,0.1479999999999999,0.6190476190476194,0.254,0.45883333333333437
0,20260814,28,permute_both_renormalized,2,middle,97,random_order,500,0,500,3.99,0.5,0.0,0.4010000000000035,0.0,0.2508333333333333
0,20260814,28,permute_both_renormalized,2,middle,97,balance_only,500,0,500,3.99,0.5470833333333333,0.047083333333333255,0.510514285714284,0.024,0.2876666666666666
0,20260814,28,permute_both_renormalized,2,middle,97,balance_random_pair,500,0,500,3.99,0.5935,0.09350000000000003,0.5741857142857136,0.188,0.36266666666666664
