order,presentation,block_size,stage,policy,repetitions,mean_states,mean_feasible_candidates,mean_percentile,mean_percentile_minus_random,percentile_effect_ci95_lower,percentile_effect_ci95_upper,mean_reciprocal_rank,mean_top_decile_rate,mean_expected_top1_rate
24,permute_both_renormalized,8,early,balance_only,20,264.0,256.0,0.5826778527462121,0.08267785274621212,0.07967159386837122,0.08575443152225379,0.014884793302264058,0.0,0.0050635822510822414
24,permute_both_renormalized,8,early,balance_pressured_pair,20,264.0,256.0,0.6543312766335229,0.1543312766335227,0.14897789232658618,0.1600624963008996,0.022423185672110713,0.19109848484848485,0.00708017676767677
24,permute_both_renormalized,8,early,balance_random_pair,20,264.0,256.0,0.6356104995265152,0.1356104995265152,0.13098842736446498,0.14012275464607007,0.0200633480865986,0.17253787878787877,0.006485990860990859
24,permute_both_renormalized,8,early,minimum_max_pressure,20,264.0,256.0,0.7798761541193181,0.27987615411931815,0.2754242405746922,0.2842796926787405,0.09722675572991245,0.33238636363636365,0.06458222576983294
24,permute_both_renormalized,8,early,random_order,20,264.0,256.0,0.5,0.0,0.0,0.0,0.00778210116731515,0.0,0.00390625
24,permute_both_renormalized,8,middle,all_pair_product,20,259.6,41.23356105398778,0.8591618882176014,0.35916188821760137,0.3561727324972639,0.36205834022839434,0.644639252081437,0.7371200284845691,0.5700100468199415
24,permute_both_renormalized,8,middle,balance_only,20,259.6,41.23356105398778,0.6224003623269518,0.12240036232695187,0.11929381072206899,0.12537084369443952,0.30915781955822963,0.19472957218449144,0.19646880435344785
24,permute_both_renormalized,8,middle,balance_pressured_pair,20,259.6,41.23356105398778,0.6508176815696969,0.15081768156969702,0.14312214473847612,0.15884909800515257,0.3377470573512322,0.2853866277629358,0.21761224950040425
24,permute_both_renormalized,8,middle,balance_random_pair,20,259.6,41.23356105398778,0.6794124021823383,0.17941240218233828,0.17408026534189588,0.18421928542424687,0.34429012759773714,0.281379837859699,0.2218020824781763
24,permute_both_renormalized,8,middle,minimum_max_pressure,20,259.6,41.23356105398778,0.6071108156454645,0.10711081564546472,0.10528556739921253,0.10872337834086712,0.2861816198517287,0.20263781529426533,0.2035933247034921
24,permute_both_renormalized,8,middle,random_order,20,259.6,41.23356105398778,0.5,0.0,0.0,0.0,0.18280135546685872,0.0,0.11287915106407682
28,catalog,2,early,all_pair_product,20,500.0,4.0,0.6349250000000002,0.134925,0.12932500000000005,0.14056249999999998,0.6616966666666662,0.4263,0.4657416666666666
28,catalog,2,early,balance_only,20,500.0,4.0,0.5268375,0.026837499999999986,0.023512499999999985,0.030337499999999983,0.4919678571428556,0.0,0.26125000000000004
28,catalog,2,early,balance_pressured_pair,20,500.0,4.0,0.559825,0.059824999999999996,0.0555625,0.06452499999999997,0.5495149999999996,0.16490000000000002,0.31377499999999997
28,catalog,2,early,balance_random_pair,20,500.0,4.0,0.5387,0.0387,0.0335625,0.044187500000000005,0.5182847619047614,0.0981,0.292925
28,catalog,2,early,minimum_max_pressure,20,500.0,4.0,0.5572000000000001,0.057200000000000015,0.05302500000000001,0.06157531250000001,0.5127447619047618,0.1058,0.3208000000000001
28,catalog,2,early,random_order,20,500.0,4.0,0.5,0.0,0.0,0.0,0.4000000000000036,0.0,0.25
28,catalog,2,middle,all_pair_product,20,491.5,3.958913411303532,0.7377537024145571,0.2377537024145572,0.23468678761575185,0.2410964269154018,0.790943687871543,0.6175676798045526,0.6530124449516242
28,catalog,2,middle,balance_only,20,491.5,3.958913411303532,0.5402078670998192,0.040207867099819126,0.03665820955309142,0.04397072887899412,0.5045614912805266,0.011489312232815229,0.27458159457452663
28,catalog,2,middle,balance_pressured_pair,20,491.5,3.958913411303532,0.6031184880715028,0.10311848807150288,0.0995877132632912,0.10688625827782143,0.6061477365632792,0.27057124128542387,0.3915578753359831
28,catalog,2,middle,balance_random_pair,20,491.5,3.958913411303532,0.5787546005035028,0.07875460050350278,0.07380179074673159,0.08357146758075763,0.5638660387855434,0.16959142436151328,0.35251274989845494
28,catalog,2,middle,minimum_max_pressure,20,491.5,3.958913411303532,0.6213883032383867,0.12138830323838659,0.11641674268214228,0.12623284429329998,0.6094828294190997,0.2653953145289895,0.4388950476260004
28,catalog,2,middle,random_order,20,491.5,3.958913411303532,0.5,0.0,0.0,0.0,0.40410865886965014,0.0,0.2534238823913722
28,catalog,4,early,all_pair_product,20,500.0,16.0,0.71811875,0.21811875,0.213815625,0.222359375,0.42028278125825586,0.3702,0.24230833333333326
28,catalog,4,early,balance_only,20,500.0,16.0,0.5785156250000001,0.078515625,0.07479984375000001,0.08212499999999998,0.19268322085931303,0.0,0.08345833333333325
28,catalog,4,early,balance_pressured_pair,20,500.0,16.0,0.5832124999999999,0.08321249999999998,0.07709046875,0.08935632812499998,0.2359567285813054,0.1814,0.10321666666666676
28,catalog,4,early,balance_random_pair,20,500.0,16.0,0.5641249999999999,0.06412500000000002,0.058631171875000006,0.0696721875,0.2147985279957279,0.09830000000000003,0.09258333333333335
28,catalog,4,early,minimum_max_pressure,20,500.0,16.0,0.5950031250000001,0.09500312500000001,0.090378046875,0.09995640625,0.2296934614339194,0.1062,0.11958292041292067
28,catalog,4,early,random_order,20,500.0,16.0,0.5,0.0,0.0,0.0,0.11764705882352902,0.0,0.0625
