order,context_length,statistic,variant,comparator,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
28,3,gain_over_fair,iid_normalized,fair_coin,20,0.004020636395776484,0.00027661303080193245,0.003896933320899205,0.004136324994223607
28,3,gain_over_fair,permuted_hadamard,fair_coin,20,0.0030635806277908295,0.0003144387011267192,0.0029317900283914026,0.003201448584852685
28,4,gain_over_fair,balanced_rows,fair_coin,20,0.007536808790375732,0.0004276214774625828,0.007353728416974029,0.00771220056893498
28,4,gain_over_fair,hadamard,fair_coin,20,0.0467577996379909,0.0006731918305555764,0.04646751999760173,0.04703965759009825
28,4,gain_over_fair,iid_normalized,fair_coin,20,0.006644031719762178,0.0003500975536591736,0.006498028474771836,0.006797239324726433
28,4,gain_over_fair,permuted_hadamard,fair_coin,20,0.007670815787594742,0.00032824182292407736,0.00752599935538481,0.007808469113569947
28,5,gain_over_fair,balanced_rows,fair_coin,20,0.014178885252749929,0.0006428371957816675,0.013907801947045108,0.014459577371858979
28,5,gain_over_fair,hadamard,fair_coin,20,0.06771946201639942,0.0007598172646708692,0.06738764385523811,0.06804300975276803
28,5,gain_over_fair,iid_normalized,fair_coin,20,0.009901112216945063,0.0003458519835275729,0.009756827839859417,0.01005172700011889
28,5,gain_over_fair,permuted_hadamard,fair_coin,20,0.014281887162431223,0.00033005825188662255,0.014141119085830808,0.014418401943593477
28,6,gain_over_fair,balanced_rows,fair_coin,20,0.02104660503979449,0.000572375941370294,0.020809695147877654,0.021295894400633144
28,6,gain_over_fair,hadamard,fair_coin,20,0.08331713201070848,0.0010715660331392244,0.08285960530595747,0.08376350869910422
28,6,gain_over_fair,iid_normalized,fair_coin,20,0.013520590475783712,0.00033132380736868917,0.013382792828879778,0.013666805333599647
28,6,gain_over_fair,permuted_hadamard,fair_coin,20,0.021096031385504838,0.00043063676556744416,0.02091643347826736,0.021276337110108883
28,7,gain_over_fair,balanced_rows,fair_coin,20,0.026772596991655954,0.0005418520748108556,0.026537102378323896,0.02700022663001047
28,7,gain_over_fair,hadamard,fair_coin,20,0.11167897748124396,0.001727210985016515,0.11091055446805104,0.11239260481725627
28,7,gain_over_fair,iid_normalized,fair_coin,20,0.016600412613281306,0.0004349918314244599,0.016415290474828464,0.01678765524090131
28,7,gain_over_fair,permuted_hadamard,fair_coin,20,0.026711655922236604,0.00046056462101099437,0.02651359558919824,0.026905130288721484
28,8,gain_over_fair,balanced_rows,fair_coin,20,0.030327490097188565,0.0006334496205800265,0.03006307015994303,0.030595848641294474
28,8,gain_over_fair,hadamard,fair_coin,20,0.13934958511501497,0.0019380417640037172,0.13849860121918858,0.14014199499039806
28,8,gain_over_fair,iid_normalized,fair_coin,20,0.019033392457083315,0.000351488500690711,0.018884754927343726,0.01918089020142138
28,8,gain_over_fair,permuted_hadamard,fair_coin,20,0.030468228668264968,0.0004003971370930836,0.030296699946401152,0.030638837834065864
28,9,gain_over_fair,balanced_rows,fair_coin,20,0.032456974428643245,0.0005023015564527456,0.03225391985752469,0.03267451703981436
28,9,gain_over_fair,hadamard,fair_coin,20,0.15604440628927532,0.0021961882852581933,0.15512326227575857,0.15694559000514932
28,9,gain_over_fair,iid_normalized,fair_coin,20,0.020236199087677438,0.0003967907876015905,0.02006225850345032,0.020403747891153762
28,9,gain_over_fair,permuted_hadamard,fair_coin,20,0.032666041591549774,0.0003936113648370829,0.03249646790156367,0.03283548770770829
28,10,gain_over_fair,balanced_rows,fair_coin,20,0.03315434084287096,0.0006773608189372119,0.03286073984001083,0.03344584425846235
28,10,gain_over_fair,hadamard,fair_coin,20,0.18976606622273567,0.003098819216931222,0.1884561543232607,0.19108885700462072
28,10,gain_over_fair,iid_normalized,fair_coin,20,0.020073544440870915,0.000504024994200958,0.019854761463305604,0.020283605694809293
28,10,gain_over_fair,permuted_hadamard,fair_coin,20,0.033561435892395186,0.00039690390338210175,0.033393934283935924,0.033730209028397976
28,11,gain_over_fair,balanced_rows,fair_coin,20,0.03217713182068298,0.0007612130025890282,0.031849932647967885,0.032497739407032704
28,11,gain_over_fair,hadamard,fair_coin,20,0.21780284771476985,0.0037728452111115826,0.21624183681659448,0.2194121612815515
28,11,gain_over_fair,iid_normalized,fair_coin,20,0.01801671405754826,0.0005350544626081386,0.01779551744743027,0.018248278391873395
28,11,gain_over_fair,permuted_hadamard,fair_coin,20,0.03270492326967125,0.0006253818821267483,0.03243323298078552,0.032966588165190866
28,12,gain_over_fair,balanced_rows,fair_coin,20,0.02826651972144132,0.0009813939350544376,0.027859268739403593,0.028700511360860697
28,12,gain_over_fair,hadamard,fair_coin,20,0.24623849290898123,0.00485968848136604,0.24426589127044102,0.2484142419408374
28,12,gain_over_fair,iid_normalized,fair_coin,20,0.01208680175508801,0.0007366556096687952,0.011786443063237968,0.01240407625831744
28,12,gain_over_fair,permuted_hadamard,fair_coin,20,0.02880222652476792,0.000864505288244891,0.0284287548900856,0.029169821022568692
16,1,paired_gain_difference,hadamard,permuted_hadamard,20,0.0,0.0,0.0,0.0
16,1,paired_gain_difference,permuted_hadamard,balanced_rows,20,0.000697514987407244,0.001166368511065372,0.00020599108094087633,0.0012104231792283966
16,1,paired_gain_difference,hadamard,balanced_rows,20,0.000697514987407244,0.001166368511065372,0.00021334385110393183,0.0012045367650329437
16,1,paired_gain_difference,hadamard,iid_normalized,20,-5.975965109127346e-05,0.005453760434291862,-0.002540699914988763,0.0022088190919995845
16,2,paired_gain_difference,hadamard,permuted_hadamard,20,5.354888412814618e-05,0.00405103283544465,-0.0017440615556233773,0.001747827697744549
16,2,paired_gain_difference,permuted_hadamard,balanced_rows,20,6.376545052789174e-05,0.005265400832198913,-0.002133969546154506,0.0023727693492250892
16,2,paired_gain_difference,hadamard,balanced_rows,20,0.00011731433465603792,0.003939078741086757,-0.0015463302024439577,0.0017946278871694094
16,2,paired_gain_difference,hadamard,iid_normalized,20,-0.001113719143719455,0.008104875086376277,-0.0044343766960782734,0.002462565917078445
16,3,paired_gain_difference,hadamard,permuted_hadamard,20,0.14814793833365375,0.0137545293858363,0.14213652392996518,0.15401131218295427
16,3,paired_gain_difference,permuted_hadamard,balanced_rows,20,-0.00036448193714114783,0.014444028091428371,-0.0068172754923895755,0.0054019385160172986
16,3,paired_gain_difference,hadamard,balanced_rows,20,0.1477834563965126,0.013294218403918687,0.1419194266595848,0.1533490097423279
16,3,paired_gain_difference,hadamard,iid_normalized,20,0.14761275560269174,0.010953320107137215,0.14296482917033054,0.15227817653523754
16,4,paired_gain_difference,hadamard,permuted_hadamard,20,0.18602294329189908,0.027599787183238713,0.17383809331126956,0.19731295787671393
16,4,paired_gain_difference,permuted_hadamard,balanced_rows,20,-0.0030648258981298302,0.021373675090223896,-0.012130776466769251,0.006251492406414815
16,4,paired_gain_difference,hadamard,balanced_rows,20,0.18295811739376927,0.02825372239130185,0.16988768997259948,0.19389337417149322
16,4,paired_gain_difference,hadamard,iid_normalized,20,0.19486742646943325,0.029180506095187075,0.18166700687952375,0.20656361595351735
16,5,paired_gain_difference,hadamard,permuted_hadamard,20,0.35376642866852437,0.053234971231637215,0.33138380335704926,0.3757778047490008
16,5,paired_gain_difference,permuted_hadamard,balanced_rows,20,0.004989916050276111,0.029506386985293946,-0.008143363395122288,0.016911307597048324
16,5,paired_gain_difference,hadamard,balanced_rows,20,0.35875634471880047,0.06188299066666859,0.3324684463276011,0.3847268729750505
16,5,paired_gain_difference,hadamard,iid_normalized,20,0.37628216337741494,0.05414660798446529,0.35257858531809516,0.3991439342814227
16,6,paired_gain_difference,hadamard,permuted_hadamard,20,0.3394199478750186,0.0610430383312288,0.3130173619989588,0.3648723024961475
16,6,paired_gain_difference,permuted_hadamard,balanced_rows,20,0.002140486992979018,0.05214519789616639,-0.020590438358590514,0.024036206984492405
16,6,paired_gain_difference,hadamard,balanced_rows,20,0.3415604348679976,0.07922974193267898,0.307333638898734,0.375259972857911
16,6,paired_gain_difference,hadamard,iid_normalized,20,0.37992212465996766,0.060026371940589435,0.35410246773315646,0.4055100226988425
16,7,paired_gain_difference,hadamard,permuted_hadamard,20,0.3844416294620171,0.06600647705739592,0.3555631036484065,0.41139858791743017
